ForecastSiteCode,Latitude,Longitude
3002,60.749,-0.854
3005,60.139,-1.183
3008,59.53,-1.63
3017,58.954,-2.9
3023,57.358,-7.397
3026,58.214,-6.325
3031,57.725,-4.896
3034,57.859,-5.636
3037,57.257,-5.809
3039,57.42,-5.69
3041,56.82,-4.97
3044,58.288,-4.442
3047,56.867,-4.708
3062,57.82,-3.97
3063,57.206,-3.827
3075,58.454,-3.089
3065,57.12,-3.64
3066,57.6494,-3.5606
3068,57.712,-3.322
3080,57.077,-2.836
3088,56.85,-2.27
3091,57.206,-2.202
3100,56.497,-6.887
3105,55.681,-6.256
3111,55.441,-5.699
3134,55.907,-4.533
3136,55.515,-4.585
3155,55.627,-3.735
3144,56.326,-3.729
3148,56.423,-4.32
3171,56.377,-2.862
3132,54.859,-4.936
3153,54.803,-4.008
3158,55.709,-2.383
3162,55.311,-3.206
3166,55.928,-3.343
3904,54.707,-7.577
3907,55.05,-7.0
3911,54.72,-6.82
3915,54.87,-6.45
3916,55.181,-6.153
3917,54.664,-6.224
3923,54.237,-6.502
99018,54.67,-5.58
3302,53.252,-4.537
3305,53.093,-3.941
3313,53.259,-3.509
3321,53.174,-2.986
3405,52.789,-4.742
3409,52.92,-3.58
3410,52.757,-3.464
3502,52.139,-4.571
3503,52.344,-3.947
3507,52.063,-3.614
3604,51.708,-5.055
3605,51.713,-4.368
3609,51.565,-3.981
3716,51.405,-3.44
3204,54.0849,-4.6321
3210,54.518,-3.615
3212,54.614,-3.157
3214,54.125,-3.257
3220,54.933,-2.963
3224,55.05,-2.553
3225,54.501,-2.684
3226,54.57,-2.42
3227,54.68,-2.45
3316,53.497,-3.056
3318,53.17,-2.98
3230,55.28,-2.28
3238,55.02,-1.88
3240,55.421,-1.6
3275,54.57,-0.87
3257,54.296,-1.53
3261,54.134,-1.414
3265,54.204,-1.39
3266,54.045,-1.25
3281,54.362,-0.673
3292,54.094,-0.174
3344,53.811,-1.865
3382,53.867,-0.433
99214,53.76,-0.29
3330,53.133,-1.983
3414,52.794,-2.663
3520,52.242,-2.885
3522,52.083,-2.8
3529,52.148,-2.04
3535,52.48,-1.689
3544,52.358,-1.33
3354,53.005,-1.25
3373,53.307,-0.546
3377,53.175,-0.521
3379,53.03,-0.5
3385,53.473,0.154
3391,53.094,-0.171
3392,53.088,0.274
3469,52.873,0.141
3462,52.611,-0.459
3482,52.651,0.569
3488,52.949,1.127
3560,52.225,-0.464
3590,52.123,0.961
3684,51.896,0.453
3693,51.554,0.83
3628,51.521,-2.576
3647,51.86,-1.692
3707,51.089,-4.149
3710,51.087,-3.608
3740,51.5031,-1.9924
3743,51.201,-1.805
3746,51.161,-1.754
3803,49.913,-6.301
3808,50.218,-5.33
3809,50.085,-5.257
3823,50.502,-4.667
3827,50.354,-4.121
3839,50.737,-3.405
3840,50.86,-3.239
3853,51.006,-2.64
3857,50.522,-2.454
3862,50.779,-1.835
3649,51.758,-1.576
3660,51.68,-0.802
3672,51.548,-0.415
3749,51.15,-1.57
3761,51.238,-0.944
3768,51.279,-0.772
3769,51.15,-0.2333
3772,51.479,-0.449
3781,51.303,-0.09
3784,51.464,0.314
3796,51.133,1.348
3797,51.3422,1.3461
3866,50.577,-1.297
3872,50.82,-0.92
3876,50.836,-0.292
3882,50.89,0.319
3658,51.62,-1.097
3072,56.88,-3.42
